,Time,Indus_levels,Indus_Inflow,Indus_Outflow,Kabul_Inflow,Jhelum_levels,Jhelum_Inflow,Jhelum_Outflow,Chenab_Inflow,System_Inflow_now,System_Inflow_past,System_Inflow_avg
0,15/Nov ,1490.15 ,25.2 ,60.0 ,4.5 ,1168.40 ,9.4 ,40.0 ,8.2 ,47.3 ,46.3 ,60.9 
1,14/Nov ,1491.71 ,24.7 ,60.0 ,4.5 ,1169.70 ,7.2 ,40.0 ,8.6 ,45.0 ,45.9 ,59.8 
2,13/Nov ,1493.29 ,25.6 ,60.0 ,4.5 ,1171.00 ,7.8 ,40.0 ,9.5 ,47.4 ,46.9 ,58.4 
3,12/Nov ,1494.83 ,25.4 ,60.0 ,4.6 ,1172.25 ,10.4 ,40.0 ,8.2 ,48.6 ,49.2 ,60.2 
4,11/Nov ,1496.38 ,24.7 ,60.0 ,4.5 ,1173.40 ,9.3 ,35.0 ,7.9 ,46.4 ,49.0 ,61.3 
5,10/Nov ,1497.96 ,24.7 ,60.0 ,4.4 ,1174.40 ,9.3 ,35.0 ,8.6 ,47.0 ,46.8 ,63.8 
6,9/Nov ,1499.54 ,24.7 ,55.0 ,4.8 ,1175.40 ,13.1 ,35.0 ,11.5 ,54.1 ,47.9 ,65.6 
7,8/Nov ,1500.84 ,25.6 ,55.0 ,4.8 ,1176.25 ,10.7 ,30.0 ,11.5 ,52.6 ,49.5 ,72.3 
8,7/Nov ,1502.07 ,25.9 ,55.0 ,4.4 ,1177.00 ,12.0 ,30.0 ,12.2 ,54.5 ,46.3 ,65.8 
9,6/Nov ,1503.29 ,25.1 ,55.0 ,4.7 ,1177.70 ,12.0 ,30.0 ,12.2 ,54.0 ,43.3 ,66.6 
10,5/Nov ,1504.54 ,25.1 ,52.0 ,4.7 ,1178.40 ,12.0 ,30.0 ,12.2 ,54.0 ,47.6 ,68.6 
11,4/Nov ,1505.66 ,26.3 ,52.0 ,4.5 ,1179.10 ,13.3 ,30.0 ,12.2 ,56.3 ,47.5 ,63.5 
12,3/Nov ,1506.74 ,26.4 ,45.0 ,4.7 ,1179.75 ,12.4 ,30.0 ,12.2 ,55.7 ,45.1 ,63.9 
13,2/Nov ,1507.53 ,29.3 ,45.0 ,5.1 ,1180.40 ,13.2 ,30.0 ,16.2 ,63.8 ,48.0 ,61.8 
14,1/Nov ,1508.20 ,27.4 ,45.0 ,5.2 ,1181.00 ,16.6 ,25.0 ,13.3 ,62.5 ,45.9 ,61.1 
15,31/Oct ,1508.95 ,30.1 ,45.0 ,5.0 ,1181.30 ,14.2 ,10.0 ,16.2 ,65.5 ,48.2 ,63.9 
16,30/Oct ,1509.59 ,28.8 ,45.0 ,5.1 ,1181.15 ,17.0 ,10.0 ,16.2 ,67.1 ,53.3 ,63.4 
17,29/Oct ,1510.27 ,29.9 ,35.0 ,5.1 ,1180.90 ,17.0 ,10.0 ,16.2 ,68.2 ,52.3 ,64.1 
18,28/Oct ,1510.51 ,29.9 ,35.0 ,5.4 ,1180.65 ,17.0 ,10.0 ,16.2 ,68.5 ,56.7 ,67.9 
19,27/Oct ,1510.74 ,29.3 ,35.0 ,6.1 ,1180.40 ,15.6 ,10.0 ,16.3 ,67.3 ,59.6 ,71.8 
20,26/Oct ,1510.99 ,32.8 ,40.0 ,6.1 ,1180.20 ,15.6 ,10.0 ,19.2 ,73.7 ,57.8 ,69.4 
21,25/Oct ,1511.30 ,31.9 ,35.0 ,7.1 ,1180.00 ,13.9 ,10.0 ,26.4 ,79.3 ,58.6 ,67.7 
22,24/Oct ,1511.45 ,31.7 ,35.0 ,7.1 ,1179.85 ,12.6 ,10.0 ,82.7 ,134.1 ,58.2 ,69.4 
23,23/Oct ,1511.61 ,33.4 ,35.0 ,5.0 ,1179.75 ,12.6 ,10.0 ,11.9 ,62.9 ,60.1 ,70.5 
24,22/Oct ,1511.70 ,33.2 ,35.0 ,4.9 ,1179.65 ,12.6 ,10.0 ,12.2 ,62.9 ,62.4 ,71.1 
25,21/Oct ,1511.80 ,33.4 ,35.0 ,5.5 ,1179.55 ,13.9 ,10.0 ,12.2 ,65.0 ,61.8 ,73.4 
26,20/Oct ,1511.89 ,33.7 ,35.0 ,6.1 ,1179.40 ,13.3 ,12.0 ,13.8 ,66.9 ,63.2 ,74.3 
27,19/Oct ,1511.97 ,35.7 ,35.0 ,5.3 ,1179.35 ,13.6 ,20.0 ,13.8 ,68.4 ,68.7 ,74.5 
28,18/Oct ,1511.97 ,37.0 ,35.0 ,5.7 ,1179.60 ,12.3 ,20.0 ,12.2 ,67.2 ,69.6 ,75.4 
29,17/Oct ,1511.92 ,37.0 ,35.0 ,6.6 ,1179.90 ,11.8 ,20.0 ,14.2 ,69.6 ,72.5 ,77.6 
30,16/Oct ,1511.87 ,38.5 ,35.0 ,7.0 ,1180.20 ,11.6 ,20.0 ,14.7 ,71.8 ,70.0 ,79.7 
31,15/Oct ,1511.76 ,39.0 ,35.0 ,8.4 ,1180.50 ,11.0 ,25.0 ,14.8 ,73.2 ,72.8 ,80.9 
32,14/Oct ,1511.63 ,43.6 ,50.0 ,9.5 ,1181.00 ,15.2 ,25.0 ,17.8 ,86.1 ,75.6 ,82.9 
33,13/Oct ,1511.91 ,45.9 ,50.0 ,9.6 ,1181.35 ,12.4 ,25.0 ,18.4 ,86.3 ,77.1 ,86.1 
34,12/Oct ,1512.10 ,49.2 ,50.0 ,9.1 ,1181.00 ,11.0 ,25.0 ,19.4 ,88.7 ,75.7 ,89.3 
35,11/Oct ,1512.16 ,51.7 ,50.0 ,9.5 ,1182.30 ,15.1 ,20.7 ,18.4 ,94.7 ,76.5 ,91.2 
36,10/Oct ,1512.12 ,52.5 ,50.0 ,10.7 ,1182.50 ,11.8 ,30.0 ,19.7 ,94.7 ,76.4 ,94.8 
37,9/Oct ,1512.05 ,52.2 ,50.0 ,12.8 ,1183.15 ,11.8 ,30.0 ,19.5 ,96.3 ,80.6 ,98.0 
38,8/Oct ,1511.99 ,56.0 ,55.0 ,13.2 ,1183.80 ,13.2 ,30.0 ,19.5 ,101.9 ,83.3 ,101.8 
39,7/Oct ,1511.98 ,65.7 ,65.0 ,13.3 ,1184.40 ,14.6 ,30.0 ,20.0 ,113.6 ,82.6 ,101.2 
40,6/Oct ,1511.98 ,72.3 ,66.0 ,18.2 ,1184.95 ,16.0 ,30.0 ,27.4 ,133.9 ,85.0 ,104.2 
41,5/Oct ,1511.76 ,78.2 ,75.0 ,16.0 ,1185.45 ,14.6 ,30.0 ,30.1 ,138.9 ,88.0 ,105.9 
42,4/Oct ,1511.66 ,87.7 ,85.0 ,15.1 ,1186.00 ,21.6 ,30.0 ,30.9 ,155.3 ,90.0 ,108.1 
43,3/Oct ,1511.58 ,89.3 ,85.0 ,14.7 ,1186.30 ,18.8 ,30.0 ,31.1 ,153.9 ,94.7 ,112.0 
44,2/Oct ,1511.44 ,87.2 ,85.0 ,13.9 ,1186.70 ,25.8 ,30.0 ,30.4 ,157.3 ,97.5 ,117.0 
45,1/Oct ,1511.38 ,81.2 ,95.0 ,13.4 ,1186.85 ,14.6 ,30.0 ,27.7 ,136.9 ,104.7 ,117.1 
46,30/Sep ,1511.95 ,80.0 ,110.0 ,13.2 ,1187.40 ,16.0 ,30.0 ,27.1 ,136.3 ,107.3 ,121.9 
47,29/Sep ,1513.16 ,78.7 ,110.0 ,13.1 ,1187.90 ,16.0 ,30.0 ,26.0 ,133.8 ,123.2 ,126.9 
48,28/Sep ,1514.42 ,77.0 ,110.0 ,13.3 ,1188.40 ,17.4 ,30.0 ,29.8 ,137.5 ,132.8 ,126.4 
49,27/Sep ,1515.72 ,77.5 ,110.0 ,15.3 ,1188.85 ,15.8 ,20.0 ,28.5 ,137.1 ,136.3 ,130.1 
50,26/Sep ,1517.00 ,82.6 ,110.0 ,16.7 ,1189.00 ,15.8 ,20.0 ,29.9 ,145.0 ,140.5 ,135.6 
51,25/Sep ,1518.11 ,86.8 ,115.0 ,17.9 ,1189.15 ,18.0 ,25.0 ,33.8 ,156.5 ,142.4 ,143.0 
52,24/Sep ,1519.25 ,99.6 ,125.0 ,18.5 ,1189.40 ,20.8 ,25.0 ,29.3 ,168.2 ,142.7 ,158.2 
53,23/Sep ,1520.27 ,107.8 ,125.0 ,18.5 ,1189.55 ,20.8 ,25.0 ,29.5 ,176.6 ,145.1 ,160.9 
54,22/Sep ,1520.95 ,102.5 ,125.0 ,17.9 ,1189.70 ,19.4 ,25.0 ,37.5 ,177.3 ,148.1 ,143.7 
55,21/Sep ,1521.83 ,105.4 ,130.0 ,16.2 ,1189.90 ,18.1 ,30.0 ,33.9 ,173.6 ,151.5 ,154.4 
56,20/Sep ,1522.79 ,96.5 ,155.0 ,16.2 ,1190.30 ,17.9 ,30.0 ,33.9 ,164.5 ,156.6 ,162.7 
57,19/Sep ,1525.03 ,98.4 ,155.0 ,15.9 ,1190.70 ,17.9 ,30.0 ,30.1 ,162.3 ,170.6 ,177.6 
58,18/Sep ,1527.20 ,93.9 ,128.0 ,16.2 ,1191.10 ,17.9 ,30.0 ,30.1 ,158.1 ,177.4 ,183.3 
59,17/Sep ,1528.52,95.4,128.0,16.6,1191.50,20.5,25.0,29.5,162.0,175.9,202.5
60,16/Sep ,1529.78 ,100.3 ,128.0 ,18.1 ,1191.65 ,19.0 ,25.0 ,33.1 ,170.5 ,194.4 ,201.0 
61,15/Sep ,1530.82 ,113.4 ,138.0 ,20.7 ,1191.85 ,20.5 ,25.0 ,37.3 ,191.9 ,192.0 ,210.5 
62,14/Sep ,1531.74 ,129.1 ,138.0 ,28.7 ,1192.00 ,26.5 ,25.0 ,39.9 ,224.2 ,205.7 ,212.7 
63,13/Sep ,1532.09 ,144.9 ,138.0 ,31.2 ,1191.95 ,29.5 ,25.0 ,66.8 ,272.4 ,203.7 ,220.5 
64,12/Sep ,1531.87 ,149.0 ,138.0 ,22.4 ,1191.80 ,24.0 ,30.0 ,62.6 ,258.0 ,214.9 ,223.6 
65,11/Sep ,1531.50 ,138.8 ,138.0 ,18.9 ,1192.00 ,22.4 ,30.0 ,48.9 ,229.0 ,227.4 ,224.7 
66,10/Sep ,1531.50 ,127.3 ,150.0 ,18.2 ,1192.25 ,15.9 ,25.0 ,47.9 ,209.3 ,256.0 ,240.2 
67,9/Sep ,1532.35 ,115.8 ,162.0 ,19.2 ,1192.55 ,19.4 ,30.0 ,63.0 ,217.4 ,274.3 ,248.3 
68,8/Sep ,1534.05 ,106.9 ,160.0 ,14.4 ,1192.90 ,21.4 ,35.0 ,30.1 ,172.8 ,326.8 ,248.6 
69,7/Sep ,1536.00 ,98.4 ,170.0 ,13.7 ,1193.35 ,15.3 ,38.0 ,28.4 ,155.8 ,349.5 ,316.1 
